önnur	foven
nýleg	lvensf
tískustefna	nven
nefnist	sfm3en
Freudismi	nken-s
og	c
mætti	svg3eþ
nefna	sng
hana	fpveo
frygðarhyggju	nveo
,	,
en	c
þessar	favfn
nýlundur	nvfn
hafa	sfg3fn
rutt	ssg
sér	fpvfþ
til	ae
rúms	nhee
nú	aa
hin	ghfo
seinustu	lhfove
ár	nhfo
meðal	ae
yngra	lheevm
fólks	nhee
og	c
ekki	aa
vert	lhensf
að	c
ég	fp1en
geri	sfg1en
mikil	lhfosf
skil	nhfo
þeim	fakfþ
útlendu	lkfþvf
kónum	nkfþ
,	,
aðrir	fokfn
kunna	sfg3fn
að	cn
verða	sng
til	ae
þess	fphee
,	,
og	c
enn	aa
mætti	svg3eþ
minnast	snm
á	ao
kvennahyggjuna	nveog
,	,
hina	gveo
femínsku	lveovf
stefnu	nveo
,	,
ég	fp1en
fagna	sfg1en
því	fpheþ
hve	aa
margar	lvfnsf
konur	nvfn
eru	sfg3fn
meðal	ae
okkar	fp1fe
í	ao
dag	nkeo
,	,
heilshugar	aa
,	,
en	c
,	,
já	au
en	c
,	,
já	au
það	fphen
er	sfg3en
þetta	fahen
stóra	lhenvf
en	nhen
sem	ct
fræðimaðurinn	nkeng
verður	sfg3en
að	cn
temja	sng
sér	fpkeþ
,	,
alltso	aa
;	;
spurningar	nvfn
.	.

þannig	aa
fæst	sfm3en
fróðskapurinn	nkeng
.	.

nokkrar	fovfn
spurningar	nvfn
?	?

verið	sbg2fn
ófeimin	lhfnsf
.	.

spyrjið	sfg2fn
.	.

segið	sfg2fn
en	nheo
.	.

vesalingur	nken
minn	feken
getur	sfg3en
kannski	aa
ekki	aa
greitt	ssg
úr	aþ
öllu	foheþ
,	,
en	c
það	fphen
er	sfg3en
aldrei	aa
að	cn
vita	sng
,	,
verst	lhense
er	sfg3en
afstöðuleysið	nheng
,	,
horngrýtis	nhee
afstöðuleysið	nheng
...	...

ég	fp1en
var	sfg1eþ
enn	aa
svöng	lvensf
og	c
farinn	sþgken
að	cn
líta	sng
á	ao
klukkuna	nveog
.	.

tíminn	nkeng
var	sfg3eþ
rétt	aa
að	cn
byrja	sng
.	.

vesalingur	nken
sinn	feken
var	sfg3eþ
bara	aa
búinn	lkensf
að	cn
tala	sng
í	ao
hálftíma	nkeo
og	c
mér	fp1eþ
leið	sfg3eþ
eins	aa
og	c
ég	fp1en
væri	svg1eþ
búinn	lkensf
að	cn
sitja	sng
þarna	aa
í	ao
þrjátíu	tfhfo
ár	nhfo
.	.

auðvitað	aa
spurði	sfg3eþ
enginn	foken
neins	fohee
,	,
mig	fp1eo
langaði	sfg3eþ
að	cn
rétta	sng
upp	aa
hönd	nveo
og	c
spyrja	sng
hvort	c
leiðin	nveng
til	ae
að	cn
