einhvern	fokeo
veginn	nkeog
náði	sfg3eþ
þetta	fahen
fantasíutal	nhen
ekki	aa
að	cn
höfða	sng
til	ae
mín	fp1ee
,	,
fyrir	aþ
mér	fp1eþ
voru	sfg3fþ
álfar	nkfn
bara	aa
eitthvað	fohen
úr	aþ
síðasta	lkeþve
bænum	nkeþg
í	aþ
dalnum	nkeþg
og	c
því	faheþ
dóti	nheþ
öllu	foheþ
.	.

eitthvert	fohen
rugl	nhen
.	.

ég	fp1en
var	sfg1eþ
kominn	sþgken
í	ao
vandræði	nhfo
með	ao
kallinn	nkeog
sem	ct
ég	fp1en
var	sfg1eþ
að	cn
teikna	sng
í	ao
glósubókina	nveog
vegna	ae
þess	fphee
að	c
ég	fp1en
hafði	sfg1eþ
asnast	ssm
til	ae
að	cn
setja	sng
skegg	nheo
á	ao
hann	fpkeo
og	c
eyðilagði	sfg1eþ
þar	aa
með	aa
alveg	aa
hökuna	nveog
sem	ct
hafði	sfg3eþ
tekist	ssm
mjög	aa
vel	aa
hjá	aþ
mér	fp1eþ
.	.

mér	fp1eþ
datt	sfg3eþ
í	ao
hug	nkeo
smásaga	nven
.	.

mér	fp1eþ
voru	sfg3fþ
alltaf	aa
að	cn
detta	sng
í	ao
hug	nkeo
smásögur	nvfn
,	,
sem	ct
ég	fp1en
ætlaði	sfg1eþ
með	aþ
tíð	nveþ
og	c
tíma	nkeþ
að	cn
skrá	sng
niður	aa
.	.

þessi	faven
saga	nven
átti	sfg3eþ
að	cn
fjalla	sng
um	ao
mann	nkeo
sem	ct
hefur	sfg3en
það	faheo
starf	nheo
að	cn
lesa	sng
á	ao
rafmagnsmæla	nkfo
hjá	aþ
fólki	nheþ
.	.

hann	fpken
er	sfg3en
eiginlega	aa
hálfgert	lhensf
fól	nhen
og	c
þrammar	sfg3en
um	ao
bæinn	nkeog
í	aþ
einkennisúlpu	nveþ
og	c
með	ao
húfu	nveo
á	aþ
hausnum	nkeþg
og	c
um	ao
varir	nvfo
hans	fpkee
leikur	sfg3en
einatt	aa
seyrið	lhensf
glott	nhen
.	.

hann	fpken
hefur	sfg3en
gífurlega	lveosf
unun	nveo
af	aþ
þessu	faheþ
starfi	nheþ
,	,
honum	fpkeþ
finnst	sfm3en
hann	fpken
vera	sng
nokkurs	fokee
konar	nkee
guð	nken
þegar	c
hann	fpken
kemur	sfg3en
inn	aa
á	ao
heimilin	nhfog
,	,
skyndilega	aa
fer	sfg3en
allt	fohen
fram	aa
á	aþ
hans	fpkee
forsendum	nvfþ
.	.

hann	fpken
hefur	sfg3en
einkanlega	aa
staka	lveosf
ánægju	nveo
af	aþ
að	cn
vaða	sng
inn	aa
á	ao
heimili	nhfo
þar	aa
sem	c
allt	fohen
er	sfg3en
í	aþ
drasli	nheþ
og	c
fólkið	nheng
jafnvel	aa
ekki	aa
komið	sþghen
á	ao
fætur	nkfo
,	,
þá	aa
lætur	sfg3en
hann	fpken
augun	nhfog
hvíla	sng
lengi	aa
á	aþ
draslinu	nheþg
áður	aa
en	c
hann	fpken
innir	sfg3en
hryssingslega	aa
eftir	aþ
rafmagnsmælinum	nkeþg
-	-
hann	fpken
reynir	sfg3en
líka	aa
að	cn
sjá	sng
út	aa
þau	fahfo
heimili	nhfo
þar	aa
sem	c
skussarnir	nkfng
búa	sfg3fn
og	c
mætir	sfg3en
þar	aa
eldsnemma	aa
á	aþ
sunnudagsmorgnum	nkfþ
og	c
liggur	sfg3en
á	aþ
bjöllunni	nveþg
.	.

svona	aa
gengur	sfg3en
þetta	fahen
til	aa
hjá	aþ
honum	fpkeþ
uns	c
hann	fpken
kemur	sfg3en
inn	aa
á	ao
heimili	nheo
konu	nvee
sem	ct
vinnur	sfg3en
við	ao
að	cn
selja	sng
miða	nkfo
í	aþ
sundlaugunum	nvfþg
og	c
er	sfg3en
alltaf	aa
að	cn
níðast	snm
á	aþ
börnunum	nhfþg
þar	aa
,	,
algjört	lhensf
flagð	nhen
og	c
þá	aa
hittir	sfg3en
hann	fpken
ofjarl	nkeo
sinn	fekeo
,	,
hún	fpven
vísar	sfg3en
honum	fpkeþ
snúðugt	aa
á	ao
